title,avg_rating,genres,author,num_pages,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5
Kushiel's Dart,4.04,"Adult Fiction, Romance, Epic Fantasy, Fiction, Fantasy, Erotica",Jacqueline Carey,1015,$97.78,9/5/2003,2760,4001,9961,18280,28884
"Faust, First Part",3.93,"Academic, European Literature, German Literature, School, Classics, Drama, Plays, Fiction, Literature, Poetry, Philosophy, Fantasy",Johann Wolfgang von Goethe,327,$43.73,7/1/1988,981,3516,12152,18439,18560
Cat's Eye,3.93,"Contemporary, Fiction, Literary Fiction, Canada, Cultural",Margaret Atwood,462,$0.99,4/26/1998,690,2467,11891,20512,15423
Hogfather,4.24,"Fiction, Humor, Fantasy",Terry Pratchett,432,$6.84,10/2/2006,222,1477,10642,24786,30088
The Calvin and Hobbes Tenth Anniversary Book,4.63,"Graphic Novels, Fiction, Humor, Comics, Sequential Art",Bill Watterson,208,$9.99,9/5/1995,346,611,3084,8821,36595
The Complete Calvin and Hobbes,4.82,"Humor, Graphic Novels, Sequential Art, Comics, Fiction",Bill Watterson,1456,$120.00,9/6/2005,123,159,756,3350,28099
The Children of H̼rin,3.97,"Fantasy, Classics, Fiction",J.R.R. Tolkien,313,$10.41,4/16/2007,725,3061,12552,21166,18989
Nation,4.06,"Fantasy, Fiction, Young Adult",Terry Pratchett,367,$6.75,9/30/2008,382,1310,5635,10745,11271
The Zahir,3.57,"Novels, Philosophy, Fiction",Paulo Coelho,336,$9.83,7/3/2006,2963,7284,18565,19087,14921
Monsters of Men,4.25,"Young Adult, Dystopia, Science Fiction",Patrick Ness,603,$12.99 to $16.99,5/3/2010,1175,2116,7684,16940,30171
Tender Is the Night,3.82,"Fiction, Classics, Literature, American",F. Scott Fitzgerald,315,$512.74,7/1/1995,2085,6951,25622,37761,28090
Murder on the Orient Express,4.16,"Mystery, European Literature, Mystery Thriller, Audiobook, Adult, Classics, Fiction, Crime, Detective, Thriller, British Literature",Agatha Christie,322,$46.88,8/31/2004,1247,6755,49109,120141,114018
Narcissus and Goldmund,4.2,"Fiction, Literature, European Literature, Philosophy, German Literature, Classics",Hermann Hesse,320,$34.95,4/26/1997,374,1343,5971,13469,17469
"Whitney, My Love",4.18,"Romance, Fiction, Historical Fiction, Regency, Historical, Historical Romance",Judith McNaught,708,$6.44,4/25/2006,812,1221,3987,8009,13844
North and South,4.13,"Historical Fiction, Historical, Classics, Romance, Fiction",Elizabeth Gaskell,521,$25.21,1/13/1994,2589,5239,20635,43268,55782
North and South,4.2,"Military History, Fiction, Historical Fiction, Civil War, Historical, War",John Jakes,812,$25.21,6/1/2000,490,1589,8853,18318,24013
Orlando,3.86,"LGBT, Historical Fiction, European Literature, Historical, Classics, Feminism, Fiction, Literature, Queer, GLBT, Novels, British Literature, Fantasy",Virginia Woolf,228,$549.99,9/28/2000,1229,3514,11060,16303,15320
